Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
materiale,Farlig avfall - alle avfallstyper,Oljeholdig avfall,L?semiddelholdig avfall,Annet organisk avfall,Tungmetallholdig avfall og forurenset masse,Etsende avfall,Annet uorganisk avfall,Prosessvann,Fotokjemikalier,Ukjent avfall
1999,543,116,12,8,154,217,1,30,4,2
2000,611,131,13,8,169,259,1,23,3,4
2001,596,148,12,8,163,230,1,19,3,12
2002,602,171,11,16,196,129,1,20,3,55
2003,806,140,33,26,356,196,1,6,4,43
2004,898,199,15,15,396,230,3,35,4,1
2005,970,245,27,11,424,226,3,27,3,4
2006,1105,268,21,20,492,229,3,26,3,43
2007,1056,293,21,19,484,213,3,13,2,8
2008,1097,333,32,16,462,230,4,10,2,7
2009,1023,389,27,17,384,161,5,32,1,7
2010,1164,450,28,36,404,208,7,27,1,3
2011,1215,444,21,37,424,250,7,30,1,1
2012,1266,566,32,34,379,209,8,36,1,0
2013,1282,484,32,34,394,290,10,38,1,0
2014,1502,522,37,45,523,340,10,23,1,0
2015,1587,589,38,77,511,327,13,31,1,0
2016,1596,490,35,57,598,277,13,102,0,23
2017,1654,541,41,81,552,315,26,98,0,0
2018,1670,617,44,65,556,268,18,73,0,29
2019,1645,559,46,109,603,244,16,60,0,7
2020,1751,560,38,111,648,303,14,76,0,1
2021,1828,582,51,117,628,263,15,171,0,1
